1.1.1	ధర్మక్షేత్రే కురుక్షేత్రే
13.29.1	ప్రకృత్యైవ చ కర్మాణి
13.30.1	యదా భూతపృథగ్భావం
13.31.1	అనాదిత్వాన్నిర్గుణత్వాత్
13.32.1	యథా సర్వగతం సౌక్ష్మ్యాత్
13.33.1	యథా ప్రకాశయత్యేకః
13.34.1	క్షేత్రక్షేత్రజ్ఞయోరేవం
14.1.1	పరం భూయః ప్రవక్ష్యామి
14.2.1	ఇదం జ్ఞానముపాశ్రిత్య
14.3.1	మమ యోనిర్మహద్బ్రహ్మ
14.4.1	సర్వయోనిషు కౌంతేయ
14.5.1	సత్త్వం రజస్తమ ఇతి గుణాః
14.6.1	తత్ర సత్త్వం నిర్మలత్వాత్
14.7.1	రజో రాగాత్మకం విద్ధి
14.8.1	తమస్త్వజ్ఞానజం విద్ధి
14.9.1	సత్త్వం సుఖే సంజయతి
14.10.1	రజస్తమశ్చాభిభూయ
14.11.1	సర్వద్వారేషు దేహేఽస్మిన్
14.12.1	లోభః ప్రవృత్తిరారంభః
14.13.1	అప్రకాశోఽప్రవృత్తిశ్చ
14.14.1	యదా సత్త్వే ప్రవృద్ధే తు
14.15.1	రజసి ప్రలయం గత్వా
14.16.1	కర్మణః సుకృతస్యాహుః
14.17.1	సత్త్వాత్సంజాయతే జ్ఞానం
14.18.1	ఊర్ధ్వం గచ్ఛంతి సత్త్వస్థాః
14.19.1	నాన్యం గుణేభ్యః కర్తారం
14.20.1	గుణానేతానతీత్య
14.21.1	కైర్లింగైస్త్రీన్గుణానేతాన్
14.22.1	ప్రకాశం చ ప్రవృత్తిం చ
14.23.1	ఉదాసీనవదాసీనః
14.24.1	సమదుఃఖసుఖః స్వస్థః
14.25.1	మానాపమానయోస్తుల్యః
14.26.1	మాం చ యోఽవ్యభిచారేణ
14.27.1	బ్రహ్మణో హి ప్రతిష్ఠాఽహం
15.1.1	ఊర్ధ్వమూలమధఃశాఖం
15.2.1	అధశ్చోర్ధ్వం ప్రసృతాస్తస్య శాఖాః
15.3.1	న రూపమస్యేహ తథోపలభ్యతే
15.4.1	తతః పదం తత్పరిమార్గితవ్యం
15.5.1	నిర్మానమోహా జితసంగదోషాః
15.6.1	న తద్భాసయతే సూర్యః
15.7.1	మమైవాంశో జీవలోకే
15.8.1	శరీరం యదవాప్నోతి
15.9.1	శ్రోత్రం చక్షుః స్పర్శనం చ
15.10.1	ఉత్క్రామంతం స్థితం వాఽపి
15.11.1	యతంతో యోగినశ్చైనం
15.12.1	యదాదిత్యగతం తేజః
15.13.1	గామావిశ్య చ భూతాని
15.14.1	అహం వైశ్వానరో భూత్వా
15.15.1	సర్వస్య చాహం హృది సన్నివిష్టః
15.16.1	ద్వావిమౌ పురుషౌ లోకే
15.17.1	ఉత్తమః పురుషస్త్వన్యః
15.18.1	యస్మాత్క్షరమతీతోఽహం
15.19.1	యో మామేవమసమ్మూఢః
15.20.1	ఇతి గుహ్యతమం శాస్త్రం
16.1.1	అభయం సత్త్వసంశుద్ధిః
16.2.1	అహింసా సత్యమక్రోధః
16.3.1	తేజః క్షమా ధృతిః శౌచం
16.4.1	దంభో దర్పోఽభిమానశ్చ
16.5.1	దైవీ సంపద్విమోక్షాయ
16.6.1	ద్వౌ భూతసర్గౌ లోకేఽస్మిన్
16.7.1	ప్రవృత్తిం చ నివృత్తిం చ
16.8.1	అసత్యమప్రతిష్ఠం తే
16.9.1	ఏతాం దృష్టిమవష్టభ్య
16.10.1	కామమాశ్రిత్య దుష్పూరం
16.11.1	చింతామపరిమేయాం చ
16.12.1	ఆశాపాశశతైర్బద్ధాః
16.13.1	ఇదమద్య మయా లబ్ధం
16.14.1	అసౌ మయా హతః శతృః
16.15.1	ఆఢ్యోఽభిజనవానస్మి
16.16.1	అనేకచిత్తవిభ్రాంతాః
16.17.1	ఆత్మసంభావితాః స్తబ్ధాః
16.18.1	అహంకారం బలం దర్పం
16.19.1	తానహం ద్విషతః క్రూరాన్
16.20.1	ఆసురీం యోనిమాపన్నాః
16.21.1	త్రివిధం నరకస్యేదం
16.22.1	ఏతైర్విముక్తః కౌంతేయ
16.23.1	యః శాస్త్రవిధిముత్సృజ్య
16.24.1	తస్మాచ్ఛాస్త్రం ప్రమాణం తే
17.1.1	యే శాస్త్రవిధిముత్సృజ్య
17.2.1	త్రివిధా భవతి శ్రద్ధా
17.3.1	సత్త్వానురూపా సర్వస్య
17.4.1	యజంతే సాత్త్వికా దేవాన్
17.5.1	అశాస్త్రవిహితం ఘోరం
17.6.1	కర్శయంతః శరీరస్థం
17.7.1	ఆహారస్త్వపి సర్వస్య
17.8.1	ఆయుఃసత్త్వబలారోగ్య-
17.9.1	కట్వమ్లలవణాత్యుష్ణ-
17.10.1	యాతయామం గతరసం
17.11.1	అఫలాకాంక్షిభిర్యజ్ఞః
17.12.1	అభిసంధాయ తు ఫలం
17.13.1	విధిహీనమసృష్టాన్నం
17.14.1	దేవద్విజగురుప్రాజ్ఞ-పూజనం
17.15.1	అనుద్వేగకరం వాక్యం
17.16.1	మనః ప్రసాదః సౌమ్యత్వం
17.17.1	శ్రద్ధయా పరయా తప్తం
17.18.1	సత్కారమానపూజార్థం
17.19.1	మూఢగ్రాహేణాత్మనో
17.20.1	దాతవ్యమితి యద్దానం
17.21.1	యత్తు ప్రత్యుపకారార్థం
17.22.1	అదేశకాలే యద్దానం
17.23.1	ఓం తత్సదితి నిర్దేశః
17.24.1	తస్మాదోమిత్యుదాహృత్య
17.25.1	తదిత్యనభిసంధాయ ఫలం
17.26.1	సద్భావే సాధుభావే చ
17.27.1	యజ్ఞే తపసి దానే చ
17.28.1	అశ్రద్ధయా హుతం దత్తం
18.1.1	సన్న్యాసస్య మహాబాహో
18.2.1	కామ్యానాం కర్మణాం న్యాసం
18.3.1	త్యాజ్యం దోషవదిత్యేకే
18.4.1	నిశ్చయం శృణు మే తత్ర
18.5.1	యజ్ఞదానతపఃకర్మ
18.6.1	ఏతాన్యపి తు కర్మాణి
18.7.1	నియతస్య తు సన్న్యాసః
18.8.1	దుఃఖమిత్యేవ యత్కర్మ
18.9.1	కార్యమిత్యేవ యత్కర్మ
18.10.1	న ద్వేష్ట్యకుశలం కర్మ
18.11.1	న హి దేహభృతా శక్యం
18.12.1	అనిష్టమిష్టం మిశ్రం చ
18.13.1	పంచైతాని మహాబాహో
18.14.1	అధిష్ఠానం తథా కర్తా 
18.15.1	శరీరవాఙ్మనోభిర్యత్ కర్మ
18.16.1	తత్రైవం సతి కర్తారం
18.17.1	యస్య నాహంకృతో భావః
18.18.1	జ్ఞానం జ్ఞేయం పరిజ్ఞాతా
18.19.1	జ్ఞానం కర్మ చ కర్తా చ
18.20.1	సర్వభూతేషు యేనైకం
18.21.1	పృథక్త్వేన తు యజ్జ్ఞానం
18.22.1	యత్తు కృత్స్నవదేకస్మిన్
18.23.1	నియతం సంగరహితం
18.24.1	యత్తు కామేప్సునా కర్మ
18.25.1	అనుబంధం క్షయం హింసాం
18.26.1	ముక్తసంగోఽనహంవాదీ
18.27.1	రాగీ కర్మఫలప్రేప్సుః
18.28.1	అయుక్తః ప్రాకృతః స్తబ్ధః
18.29.1	బుద్ధేర్భేదం ధృతేశ్చైవ
18.30.1	ప్రవృత్తిం చ నివృత్తిం చ
18.31.1	యయా ధర్మమధర్మం చ
18.32.1	అధర్మం ధర్మమితి యా
18.33.1	ధృత్యా యయా ధారయతే
18.34.1	యయా తు ధర్మకామార్థాన్
18.35.1	యయా స్వప్నం భయం శోకం
18.36.1	సుఖం త్విదానీం త్రివిధం
18.37.1	యత్తదగ్రే విషమివ
18.38.1	విషయేంద్రియసంయోగాత్
18.39.1	యదగ్రే చానుబంధే చ
18.40.1	న తదస్తి పృథివ్యాం వా
18.41.1	బ్రాహ్మణక్షత్రియవిశాం
18.42.1	శమో దమస్తపః శౌచం
18.43.1	శౌర్యం తేజో ధృతిర్దాక్ష్యం
18.44.1	కృషిగౌరక్ష్యవాణిజ్యం 
18.45.1	స్వే స్వే కర్మణ్యభిరతః
18.46.1	యతః ప్రవృత్తిర్భూతానాం
18.47.1	శ్రేయాన్స్వధర్మో విగుణః
18.48.1	సహజం కర్మ కౌంతేయ
18.49.1	అసక్తబుద్ధిః సర్వత్ర
18.50.1	సిద్ధిం ప్రాప్తో యథా బ్రహ్మ
18.51.1	బుద్ధ్యా విశుద్ధయా యుక్తః
18.52.1	వివిక్తసేవీ లఘ్వాశీ
18.53.1	అహంకారం బలం దర్పం
18.54.1	బ్రహ్మభూతః ప్రసన్నాత్మా
18.55.1	భక్త్యా మామభిజానాతి
18.56.1	సర్వకర్మాణ్యపి సదా
18.57.1	చేతసా సర్వకర్మాణి
18.58.1	మచ్చిత్తః సర్వదుర్గాణి
18.59.1	యదహంకారమాశ్రిత్య
18.60.1	స్వభావజేన కౌంతేయ
18.61.1	ఈశ్వరః సర్వభూతానాం
18.62.1	తమేవ శరణం గచ్ఛ
18.63.1	ఇతి తే జ్ఞానమాఖ్యాతం
18.64.1	సర్వగుహ్యతమం భూయః
18.65.1	మన్మనా భవ మద్భక్తః
18.66.1	సర్వధర్మాన్పరిత్యజ్య
18.67.1	ఇదం తే నాతపస్కాయ
18.68.1	య ఇమం పరమం గుహ్యం
18.69.1	న చ తస్మాన్మనుష్యేషు
18.70.1	అధ్యేష్యతే చ య ఇమం
18.71.1	శ్రద్ధావాననసూయశ్చ
18.72.1	కచ్చిదేతచ్ఛ్రుతం పార్థ
18.73.1	నష్టో మోహః స్మృతిర్లబ్ధా
18.74.1	ఇత్యహం వాసుదేవస్య
18.75.1	వ్యాసప్రసాదాచ్ఛ్రుతవాన్
18.76.1	రాజన్సంస్మృత్య సంస్మృత్య
18.77.1	తచ్చ సంస్మృత్య సంస్మృత్య
18.78.1	యత్ర యోగేశ్వరః కృష్ణః
