1.1.1	धर्मक्षेत्रे कुरुक्षेत्रे
15.18.1	यस्मात्क्षरमतीतोऽहम्
15.19.1	यो मामेवमसम्मूढः
15.20.1	इति गुह्यतमं शास्त्रम्
16.1.1	अभयं सत्त्वसंशुद्धिः
16.2.1	अहिंसा सत्यमक्रोधः
16.3.1	तेजः क्षमा धृतिः शौचम्
16.4.1	दंभो दर्पोऽभिमानश्च
16.5.1	दैवी संपद्विमोक्षाय
16.6.1	द्वौ भूतसर्गौ लोकेऽस्मिन्
16.7.1	प्रवृत्तिं च निवृत्तिं च
16.8.1	असत्यमप्रतिष्ठं ते
16.9.1	एतां दृष्टिमवष्टभ्य
16.10.1	काममाश्रित्य दुष्पूरं
16.11.1	चिंतामपरिमेयां च
16.12.1	आशापाशशतैर्बद्धाः
16.13.1	इदमद्य मया लब्धम्
16.14.1	असौ मया हतः शतृः
16.15.1	आढ्योऽभिजनवानस्मि
16.16.1	अनेकचित्तविभ्रांताः
16.17.1	आत्मसंभाविताः स्तब्धाः
16.18.1	अहंकारं बलं दर्पं
16.19.1	तानहं द्विषतः क्रूरान्
16.20.1	आसुरीं योनिमापन्नाः
16.21.1	त्रिविधं नरकस्येदं
16.22.1	एतैर्विमुक्तः कौंतेय
16.23.1	यः शास्त्रविधिमुत्सृज्य
16.24.1	तस्माच्छास्त्रं प्रमाणं ते
17.1.1	ये शास्त्रविधिमुत्सृज्य
17.2.1	त्रिविधा भवति श्रद्धा
17.3.1	सत्त्वानुरूपा सर्वस्य
17.4.1	यजंते सात्त्विका देवान्
17.5.1	अशास्त्रविहितं घोरं
17.6.1	कर्शयंतः शरीरस्थं
17.7.1	आहारस्त्वपि सर्वस्य
17.8.1	आयुःसत्त्वबलारोग्य
17.9.1	कट्वम्ललवणात्युष्ण
17.10.1	यातयामं गतरसं
17.11.1	अफलाकांक्षिभिर्यज्ञः
17.12.1	अभिसंधाय तु फलं
17.13.1	विधिहीनमसृष्टान्नं
17.14.1	देवद्विजगुरुप्राज्ञ-पूजनं
17.15.1	अनुद्वेगकरं वाक्यं
17.16.1	मनः प्रसादः सौम्यत्वं
17.17.1	श्रद्धया परया तप्तं
17.18.1	सत्कारमानपूजार्थं
17.19.1	मूढग्राहेणात्मनो
17.20.1	दातव्यमिति यद्दानं
17.21.1	यत्तु प्रत्युपकारार्थं
17.22.1	अदेशकाले यद्दानम्
17.23.1	ॐ तत्सदिति निर्देशः
17.24.1	तस्मादोमित्युदाहृत्य
17.25.1	तदित्यनभिसंधाय फलं
17.26.1	सद्भावे साधुभावे च
17.27.1	यज्ञे तपसि दाने च स्थितिः
17.28.1	अश्रद्धया हुतं दत्तं
18.1.1	सन्न्यासस्य महाबाहो
18.2.1	काम्यानां कर्मणां न्यासं
18.3.1	त्याज्यं दोषवदित्येके
18.4.1	निश्चयं शृणु मे तत्र
18.5.1	यज्ञदानतपःकर्म
18.6.1	एतान्यपि तु कर्माणि
18.7.1	नियतस्य तु सन्न्यासः
18.8.1	दुःखमित्येव यत्कर्म
18.9.1	कार्यमित्येव यत्कर्म
18.10.1	न द्वेष्ट्यकुशलं कर्म
18.11.1	न हि देहभृता शक्यं
18.12.1	अनिष्टमिष्टं मिश्रं च
18.13.1	पंचैतानि महाबाहो
18.14.1	अधिष्ठानं तथा कर्ता
18.15.1	शरीरवाङ्मनोभिर्यत्
18.16.1	तत्रैवं सति कर्तारम्
18.17.1	यस्य नाहंकृतो भावः
18.18.1	ज्ञानं ज्ञेयं परिज्ञाता
18.19.1	ज्ञानं कर्म च कर्ता च
18.20.1	सर्वभूतेषु येनैकं
18.21.1	पृथक्त्वेन तु यज्ज्ञानं
18.22.1	यत्तु कृत्स्नवदेकस्मिन्
18.23.1	नियतं संगरहितम्
18.24.1	यत्तु कामेप्सुना कर्म
18.25.1	अनुबंधं क्षयं हिंसाम्
18.26.1	मुक्तसंगोऽनहंवादी
18.27.1	रागी कर्मफलप्रेप्सुः
18.28.1	अयुक्तः प्राकृतः
18.29.1	बुद्धेर्भेदं धृतेश्चैव
18.30.1	प्रवृत्तिं च निवृत्तिं च
18.31.1	यया धर्ममधर्मं च
18.32.1	अधर्मं धर्ममिति या
18.33.1	धृत्या यया धारयते
18.34.1	यया तु धर्मकामार्थान्
18.35.1	यया स्वप्नं भयं शोकं
18.36.1	सुखं त्विदानीं त्रिविधं
18.37.1	यत्तदग्रे विषमिव
18.38.1	विषयेंद्रियसंयोगात्
18.39.1	यदग्रे चानुबंधे च
18.40.1	न तदस्ति पृथिव्यां वा
18.41.1	ब्राह्मणक्षत्रियविशां
18.42.1	शमो दमस्तपः शौचं
18.43.1	शौर्यं तेजो धृतिर्दाक्ष्यं
18.44.1	कृषिगौरक्ष्यवाणिज्यं
18.45.1	स्वे स्वे कर्मण्यभिरतः
18.46.1	यतः प्रवृत्तिर्भूतानां
18.47.1	श्रेयान्स्वधर्मो विगुणः
18.48.1	सहजं कर्म कौंतेय
18.49.1	असक्तबुद्धिः सर्वत्र
18.50.1	सिद्धिं प्राप्तो यथा ब्रह्म
18.51.1	बुद्ध्या विशुद्धया युक्तः
18.52.1	विविक्तसेवी लघ्वाशी
18.53.1	अहंकारं बलं दर्पं
18.54.1	ब्रह्मभूतः प्रसन्नात्मा
18.55.1	भक्त्या मामभिजानाति
18.56.1	सर्वकर्माण्यपि सदा
18.57.1	चेतसा सर्वकर्माणि
18.58.1	मच्चित्तः सर्वदुर्गाणि
18.59.1	यदहंकारमाश्रित्य
18.60.1	स्वभावजेन कौंतेय
18.61.1	ईश्वरः सर्वभूतानां
18.62.1	तमेव शरणं गच्छ
18.63.1	इति ते ज्ञानमाख्यातं
18.64.1	सर्वगुह्यतमं भूयः
18.65.1	मन्मना भव मद्भक्तः
18.66.1	सर्वधर्मान्परित्यज्य
18.67.1	इदं ते नातपस्काय
18.68.1	य इमं परमं गुह्यं
18.69.1	न च तस्मान्मनुष्येषु
18.70.1	अध्येष्यते च य इमं
18.71.1	श्रद्धावाननसूयश्च
18.72.1	कच्चिदेतच्छ्रुतं पार्थ
18.73.1	नष्टो मोहः स्मृतिर्लब्धा
18.74.1	इत्यहं वासुदेवस्य
18.75.1	व्यासप्रसादाच्छ्रुतवान्
18.76.1	राजन्संस्मृत्य संस्मृत्य
18.77.1	तच्च संस्मृत्य संस्मृत्य
18.78.1	यत्र योगेश्वरः कृष्णः
